Open time,Quote asset volume,Number of trades,Taker buy base asset volume,aroon_down,stoch,class
1689897600000,713123417.7612139,555611,11566.3884,16.0,17.002006805688904,1
1689984000000,437785700.3396102,423988,6725.50525,12.0,12.30259139691126,-1
1690070400000,548940321.0915866,519434,8889.35695,8.0,24.943285926184444,1
1690156800000,1162562413.8190155,869107,18047.66786,100.0,10.692315535465406,-1
1690243200000,629531351.1145664,533797,10257.29455,96.0,12.47357509431392,0
1690329600000,995569172.1396836,750401,15987.94266,92.0,16.655677531183013,1
1690416000000,659594157.3443576,583045,10384.95749,88.0,13.037101260792516,-1
1690502400000,702705076.837866,543177,11422.36141,84.0,28.630757932588736,0
1690588800000,318276733.8766431,339750,5443.09222,80.0,31.084605839600947,1
1690675200000,459830379.6509824,454846,7720.41654,76.0,26.94785157756688,0
1690761600000,663025204.2072345,563115,11029.2258,72.0,23.80814626243919,-1
1690848000000,1299160215.077924,900141,21831.75056,100.0,61.159212997336,1
1690934400000,1419729744.649752,945158,22953.8144,96.0,32.772306415687545,-1
1691020800000,773302705.4947629,651970,12901.09228,92.0,34.45785864082066,1
1691107200000,686643453.3930904,544850,10539.62903,88.0,29.943320297001705,0
1691193600000,338478560.12182474,331924,5491.4962,84.0,27.57070792949048,-1
1691280000000,383209498.87775046,338654,6471.24487,80.0,33.20738763970706,0
1691366400000,899492595.6812717,671438,15375.49318,76.0,42.78013408126973,0
1691452800000,1352934531.6659672,877168,24189.62133,72.0,71.4418380268949,1
1691539200000,1130396850.0974116,750252,18700.85778,68.0,60.07899656274506,0
1691625600000,692863472.0877249,513691,11204.06553,64.0,52.466381233793626,0
1691712000000,607176051.3015367,437828,9803.94004,60.0,50.67418440571661,-1
1691798400000,263949405.54340288,310852,4181.99127,56.00000000000001,50.923837665078565,1
1691884800000,326264625.2296824,341726,5257.07008,52.0,43.30579509135861,-1
1691971200000,924613476.681799,671592,15036.11048,48.0,50.96966773201471,1
1692057600000,806683957.3100157,591162,12751.63951,44.0,32.338282662657136,0
1692144000000,959870747.0063144,768028,14761.86053,40.0,1.9106009838168947,0
1692144000000,959870747.0063144,768028,14761.86053,36.0,1.9106009838168947,0
